"","created_date","closed_date","location_type","incident_zip","city","borough","latitude","longitude","puma","pct_fam","pct_kid","pct_old","pct_hs","pct_bachlor","pct_usborn","pct_nyborn","pct_diffstateborn","pct_difflang","pct_english_not_great","avg_size","pct_vacant","pct_female","pct_under_5","pct_5to9","pct_10to14","pct_15to19","pct_20to24","pct_25to35","pct_35to44","pct_45to54","pct_55to59","pct_60to64","pct_65to74","pct_74to84","pct_85plus","pct_white","pct_black","pct_americanindian","pct_asian","pct_nativeislander","pct_hispanic","median_age","median_household_income","mean_household_income","median_income","percent_unemployed","percent_poverty_line","time_complete","num_of_incidents","modal_location","avg_time_complete"
"1",2015-12-31 00:12:00,2015-12-31 05:03:00,"Residential Building/House",10463,"BRONX","BRONX",40.87589494,-73.91247127,3701,"59.40%","27.40%","27.20%","21.60%","18.40%","62.10%","52.30%","9.80%","53.30%","21.30%",2.44,"10.30%","52.90%","6.00%","5.20%","5.10%","6.80%","8.00%","13.60%","13.30%","12.80%","7.00%","6.10%","7.60%","5.30%","3.10%","48.70%","17.90%","1.00%","6.20%","N","44.90%",39.3,"53,595","75,889","35,024","7.60%","18.10%",291,2291,"Residential Building/House",172.598428633784
"2",2015-12-31 15:04:00,2015-12-31 20:49:00,"Residential Building/House",10466,"BRONX","BRONX",40.88702961,-73.8442475,3702,"68.60%","41.00%","25.30%","30.60%","14.90%","55.70%","49.80%","5.90%","26.90%","8.80%",3,"8.30%","55.10%","7.00%","6.70%","7.20%","8.40%","7.90%","13.30%","13.20%","13.90%","6.00%","5.00%","6.40%","3.50%","1.40%","11.60%","69.90%","0.80%","2.40%","0.10%","23.10%",34.5,"43,601","54,786","31,094","10.20%","20.40%",345,2371,"Residential Building/House",1088.36708860759
"3",2015-12-31 01:40:00,2015-12-31 04:14:00,"Residential Building/House",10461,"BRONX","BRONX",40.84657157,-73.82982678,3703,"61.70%","27.20%","34.30%","30.90%","14.70%","73.00%","66.30%","6.70%","37.70%","10.50%",2.53,"6.40%","53.30%","4.70%","5.00%","5.90%","6.10%","7.00%","11.20%","12.80%","15.90%","6.80%","5.60%","9.50%","7.10%","2.50%","47.70%","29.90%","0.60%","2.70%","N","34.90%",42.5,"51,912","67,630","40,189","7.10%","14.20%",154,2287,"Residential Building/House",357.907739396589
"4",2015-12-31 01:25:00,2015-12-31 05:01:00,"Residential Building/House",10469,"BRONX","BRONX",40.86992445,-73.85459224,3704,"66.20%","36.10%","26.10%","28.30%","14.60%","57.00%","52.10%","4.90%","56.00%","22.30%",2.84,"7.50%","52.20%","6.30%","6.30%","6.70%","6.40%","7.20%","14.90%","13.10%","14.10%","6.10%","5.20%","6.70%","4.30%","2.70%","36.90%","24.90%","1.10%","9.20%","0.60%","42.00%",36.1,"44,370","57,429","31,643","9.10%","20.00%",216,1191,"Residential Building/House",884.083963056255
"5",2015-12-31 00:42:00,2015-12-31 05:08:00,"Residential Building/House",10460,"BRONX","BRONX",40.84110525,-73.88112132,3705,"67.60%","47.20%","18.50%","26.60%","7.20%","59.20%","53.00%","6.20%","63.90%","28.60%",3.01,"8.80%","54.50%","9.00%","8.60%","8.20%","9.80%","9.90%","14.20%","12.80%","12.10%","4.70%","3.30%","4.30%","2.20%","0.80%","17.00%","36.90%","1.40%","1.30%","0.30%","63.40%",27.5,"21,379","31,966","19,503","10.60%","43.90%",266,6611,"Residential Building/House",913.663589588378
"6",2015-12-31 00:08:00,2015-12-31 01:59:00,"Residential Building/House",10467,"BRONX","BRONX",40.85874768,-73.86562454,3706,"64.00%","42.00%","18.10%","28.60%","11.70%","51.90%","48.40%","3.50%","69.40%","32.40%",2.89,"8.10%","53.20%","8.60%","6.80%","7.50%","7.10%","8.30%","17.30%","14.40%","12.80%","4.70%","3.60%","5.10%","2.10%","1.70%","19.20%","23.40%","1.00%","7.60%","N","64.60%",31.7,"30,231","42,286","22,313","10.30%","31.20%",111,11233,"Residential Building/House",295.988781052444
"7",2015-12-31 00:58:00,2015-12-31 08:32:00,"Residential Building/House",10453,"BRONX","BRONX",40.85051999,-73.91973389,3707,"69.40%","45.90%","16.10%","29.60%","7.10%","52.10%","45.70%","6.40%","70.20%","34.80%",3.04,"8.40%","53.00%","8.30%","7.50%","7.90%","8.90%","9.00%","14.90%","13.60%","14.30%","5.00%","4.10%","4.30%","1.80%","0.50%","15.10%","36.10%","1.30%","1.40%","0.20%","68.60%",30.7,"24,753","35,058","17,491","13.10%","41.10%",454,6552,"Residential Building/House",472.263165928866
"8",2015-12-31 00:25:00,2015-12-31 08:42:00,"Residential Building/House",10452,"BRONX","BRONX",40.8311959,-73.93034856,3708,"64.90%","42.90%","21.20%","26.50%","7.90%","52.80%","48.00%","4.90%","69.00%","35.00%",2.95,"6.30%","52.30%","8.00%","8.30%","7.70%","8.70%","7.80%","14.30%","13.60%","13.50%","5.00%","4.20%","5.50%","2.60%","1.00%","18.10%","40.00%","1.10%","1.60%","N","62.40%",31.4,"25,834","36,312","20,672","10.30%","38.20%",497,3762,"Residential Building/House",1715.6562084552
"9",2015-12-31 00:43:00,2015-12-31 03:50:00,"Residential Building/House",10473,"BRONX","BRONX",40.82321798,-73.86612626,3709,"68.40%","41.60%","23.80%","28.00%","12.20%","56.70%","52.50%","4.30%","57.70%","24.80%",2.96,"8.80%","52.70%","7.70%","6.50%","7.10%","7.10%","8.10%","16.00%","12.90%","13.30%","5.70%","4.80%","6.40%","3.00%","1.20%","16.60%","38.10%","0.90%","8.20%","0.20%","57.40%",33.2,"36,920","48,877","26,597","7.40%","27.10%",187,4772,"Residential Building/House",298.180637049455
"10",2015-12-31 00:56:00,2015-12-31 05:41:00,"Residential Building/House",10455,"BRONX","BRONX",40.81927919,-73.91522291,3710,"68.20%","47.10%","21.20%","26.90%","6.20%","60.30%","55.50%","4.80%","66.90%","36.40%",2.98,"7.70%","50.70%","8.70%","8.00%","7.60%","8.80%","10.30%","16.30%","13.00%","11.90%","4.00%","3.30%","4.70%","2.60%","0.80%","23.60%","36.30%","1.20%","1.30%","0.30%","70.20%",28.5,"20,867","31,559","18,375","9.10%","42.40%",285,6766,"Residential Building/House",541.750036954915
