Subject,pct_fam,pct_kid,pct_old,pct_hs,pct_bachlor,pct_usborn,pct_nyborn,pct_diffstateborn,pct_difflang,pct_english_not_great,avg_size,pct_vacant,pct_female,pct_under_5,pct_5to9,pct_10to14,pct_15to19,pct_20to24,pct_25to35,pct_35to44,pct_45to54,pct_55to59,pct_60to64,pct_65to74,pct_74to84,pct_85plus,pct_white,pct_black,pct_americanindian,pct_asian,pct_nativeislander,pct_hispanic,median_age,median_household_income,mean_household_income,median_income,percent_unemployed,percent_poverty_line
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA 3710, New York",68.20%,47.10%,21.20%,26.90%,6.20%,60.30%,55.50%,4.80%,66.90%,36.40%,2.98,7.70%,50.70%,8.70%,8.00%,7.60%,8.80%,10.30%,16.30%,13.00%,11.90%,4.00%,3.30%,4.70%,2.60%,0.80%,23.60%,36.30%,1.20%,1.30%,0.30%,70.20%,28.5,"20,867","31,559","18,375",9.10%,42.40%
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA 3703, New York",61.70%,27.20%,34.30%,30.90%,14.70%,73.00%,66.30%,6.70%,37.70%,10.50%,2.53,6.40%,53.30%,4.70%,5.00%,5.90%,6.10%,7.00%,11.20%,12.80%,15.90%,6.80%,5.60%,9.50%,7.10%,2.50%,47.70%,29.90%,0.60%,2.70%,N,34.90%,42.5,"51,912","67,630","40,189",7.10%,14.20%
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA 3704, New York",66.20%,36.10%,26.10%,28.30%,14.60%,57.00%,52.10%,4.90%,56.00%,22.30%,2.84,7.50%,52.20%,6.30%,6.30%,6.70%,6.40%,7.20%,14.90%,13.10%,14.10%,6.10%,5.20%,6.70%,4.30%,2.70%,36.90%,24.90%,1.10%,9.20%,0.60%,42.00%,36.1,"44,370","57,429","31,643",9.10%,20.00%
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA 3702, New York",68.60%,41.00%,25.30%,30.60%,14.90%,55.70%,49.80%,5.90%,26.90%,8.80%,3,8.30%,55.10%,7.00%,6.70%,7.20%,8.40%,7.90%,13.30%,13.20%,13.90%,6.00%,5.00%,6.40%,3.50%,1.40%,11.60%,69.90%,0.80%,2.40%,0.10%,23.10%,34.5,"43,601","54,786","31,094",10.20%,20.40%
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA 3705, New York",67.60%,47.20%,18.50%,26.60%,7.20%,59.20%,53.00%,6.20%,63.90%,28.60%,3.01,8.80%,54.50%,9.00%,8.60%,8.20%,9.80%,9.90%,14.20%,12.80%,12.10%,4.70%,3.30%,4.30%,2.20%,0.80%,17.00%,36.90%,1.40%,1.30%,0.30%,63.40%,27.5,"21,379","31,966","19,503",10.60%,43.90%
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA 3708, New York",64.90%,42.90%,21.20%,26.50%,7.90%,52.80%,48.00%,4.90%,69.00%,35.00%,2.95,6.30%,52.30%,8.00%,8.30%,7.70%,8.70%,7.80%,14.30%,13.60%,13.50%,5.00%,4.20%,5.50%,2.60%,1.00%,18.10%,40.00%,1.10%,1.60%,N,62.40%,31.4,"25,834","36,312","20,672",10.30%,38.20%
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA 3707, New York",69.40%,45.90%,16.10%,29.60%,7.10%,52.10%,45.70%,6.40%,70.20%,34.80%,3.04,8.40%,53.00%,8.30%,7.50%,7.90%,8.90%,9.00%,14.90%,13.60%,14.30%,5.00%,4.10%,4.30%,1.80%,0.50%,15.10%,36.10%,1.30%,1.40%,0.20%,68.60%,30.7,"24,753","35,058","17,491",13.10%,41.10%
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA 3706, New York",64.00%,42.00%,18.10%,28.60%,11.70%,51.90%,48.40%,3.50%,69.40%,32.40%,2.89,8.10%,53.20%,8.60%,6.80%,7.50%,7.10%,8.30%,17.30%,14.40%,12.80%,4.70%,3.60%,5.10%,2.10%,1.70%,19.20%,23.40%,1.00%,7.60%,N,64.60%,31.7,"30,231","42,286","22,313",10.30%,31.20%
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA 3701, New York",59.40%,27.40%,27.20%,21.60%,18.40%,62.10%,52.30%,9.80%,53.30%,21.30%,2.44,10.30%,52.90%,6.00%,5.20%,5.10%,6.80%,8.00%,13.60%,13.30%,12.80%,7.00%,6.10%,7.60%,5.30%,3.10%,48.70%,17.90%,1.00%,6.20%,N,44.90%,39.3,"53,595","75,889","35,024",7.60%,18.10%
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA 3709, New York",68.40%,41.60%,23.80%,28.00%,12.20%,56.70%,52.50%,4.30%,57.70%,24.80%,2.96,8.80%,52.70%,7.70%,6.50%,7.10%,7.10%,8.10%,16.00%,12.90%,13.30%,5.70%,4.80%,6.40%,3.00%,1.20%,16.60%,38.10%,0.90%,8.20%,0.20%,57.40%,33.2,"36,920","48,877","26,597",7.40%,27.10%
